model,reference_raw,slope,raw_speed,gameplay_speed,AVG,OBP,SLG,BB,K,HR,1B,2B,3B,BABIP,OUT,SB_attempt_rate_per_onbase,SB_success,SB_attempts_per_600PA,SB_per_600PA,CS_per_600PA,first_to_third,second_to_home,DP_avoidance,running_runs_per_PA,total_runs_proxy_per_PA
A_keep_raw_scale,98.10803333333332,0.8,150,141.51357333333334,0.26933031733257934,0.32812,0.4458098614524654,0.08046,0.2094,0.02638,0.1424,0.07462,0.00426,0.3236223236223236,0.66566,0.1597410063673824,0.884405208038094,25.787795752558633,22.806860867385495,2.980934885173139,0.6370074255429654,0.7300079658297414,0.7813758125292285,0.03573698942881669,0.04926758942881666
A_keep_raw_scale,98.10803333333332,0.8,160,149.51357333333334,0.26778014894821656,0.3275,0.4459518313662297,0.08156,0.2127,0.02806,0.14256,0.07118,0.00414,0.3215086766615512,0.66586,0.16626252685097942,0.8934119240682106,26.789880951498315,23.934399086436414,2.8554818650619014,0.655057034644932,0.7467167597968765,0.7966071899002175,0.036836478410399845,0.050289278410399804
A_keep_raw_scale,98.10803333333332,0.8,180,165.51357333333334,0.2705866934603119,0.33212,0.4565112926477655,0.08436,0.2103,0.02904,0.14044,0.07344,0.00484,0.32340677214254027,0.66154,0.17271372651113848,0.9033225409201372,28.221947961648624,25.49352174243232,2.7284262192163027,0.6812172009583031,0.7698361476114447,0.8167784972604771,0.038305874536770756,0.056750474536770734
A_keep_raw_scale,98.10803333333332,1.0,60,61.891966666666676,0.258988421694089,0.31904,0.38023417776617047,0.08104,0.21292,0.02792,0.18262,0.02726,0.0002,0.30979767592756446,0.67456,0.0011099632745134255,0.5430900211120144,0.17422836008557557,0.0946216837571869,0.07960667632838868,0.3220001119259501,0.38907655224347426,0.4353993877918325,0.01652403996428482,0.007536239964284774
A_keep_raw_scale,98.10803333333332,1.0,70,71.89196666666668,0.2600299758889589,0.31868,0.3829745639377023,0.07926,0.21018,0.02724,0.18112,0.03064,0.00042,0.3105133758707487,0.67496,0.005097268268790284,0.5808477367499315,0.7992035463338591,0.46421557109054107,0.3349879752433181,0.35841412633382796,0.4305034470651126,0.47703532644886526,0.01810762250024197,0.009643622500241943
A_keep_raw_scale,98.10803333333332,1.0,80,81.89196666666668,0.26052287581699346,0.32116,0.3874945533769063,0.082,0.21404,0.02706,0.17718,0.03446,0.00046,0.3133402275077559,0.67202,0.01607799113461356,0.6315745337930898,2.5404949553339056,1.604511917018708,0.9359830383151977,0.4002289206376949,0.47816718724627083,0.5260433848265227,0.01998405156630246,0.014137451566302424
A_keep_raw_scale,98.10803333333332,1.0,90,91.89196666666668,0.2611727898841984,0.31988,0.3898364003736937,0.07946,0.21504,0.02652,0.17634,0.03624,0.00132,0.3150313705852897,0.67342,0.03709602991023325,0.6919541691544083,5.838208799461223,4.0397729191811464,1.7984358802800768,0.44558464348426297,0.5294390584993665,0.5794148204325443,0.0222750862446608,0.016387286244660803
A_keep_raw_scale,98.10803333333332,1.0,100,101.89196666666668,0.2591342594608718,0.3195,0.398575970038758,0.08148,0.21378,0.027,0.16596,0.04304,0.00202,0.31135833800572493,0.67384,0.06619888475948082,0.7515321873275148,10.406067490881828,7.820494662900165,2.585572827981664,0.4918378355624899,0.5807514174483799,0.6328356181703515,0.02507414335172755,0.02159994335172754
A_keep_raw_scale,98.10803333333332,1.0,110,111.89196666666668,0.26196704159037404,0.32284,0.4287862934867905,0.08248,0.21184,0.02684,0.14396,0.06658,0.00298,0.31453656237110367,0.67084,0.09682545327501245,0.8025172392722328,15.379491632970073,12.342307166701547,3.037184466268526,0.5361318446234912,0.6285255350880338,0.6819761048739442,0.028201016369045734,0.03471041636904573
A_keep_raw_scale,98.10803333333332,1.0,120,121.89196666666668,0.26201567261645625,0.32194,0.4372224640835873,0.0812,0.21056,0.02736,0.13726,0.07334,0.00278,0.31338855598637055,0.67134,0.12503627329102227,0.8411348352074572,19.80505548906936,16.658722085072903,3.1463334039964574,0.5760678301905529,0.6701054175776058,0.7237902318705125,0.0312288325175347,0.03981463251753468
A_keep_raw_scale,98.10803333333332,1.0,130,131.8919666666667,0.26839506709876676,0.32726,0.44435261108815277,0.08046,0.2094,0.02638,0.14154,0.0751,0.00378,0.3223645723645724,0.66652,0.14703842281748328,0.8676976030804405,23.674938771614794,20.542687625206344,3.132251146408448,0.6101641301764225,0.7042231807669397,0.7570747949069245,0.03387819678462134,0.0466235967846213
A_keep_raw_scale,98.10803333333332,1.0,140,141.8919666666667,0.2671268672967205,0.3269,0.4449283567788859,0.08156,0.2127,0.02806,0.14196,0.07152,0.0038,0.3206233030338803,0.66646,0.16011872256715562,0.8849168980619159,25.75266272034396,22.788966411321518,2.9636963090224433,0.6379456577332308,0.7308898018406857,0.7821909070895845,0.03577688691069934,0.0486802869106993
A_keep_raw_scale,98.10803333333332,1.0,150,151.8919666666667,0.26907456073670266,0.32692,0.44491019264600484,0.07914,0.21078,0.02772,0.1453,0.07076,0.004,0.3224983879477109,0.66712,0.16759019311274187,0.895457329058472,26.955984278749444,24.13793368439114,2.8180505943583056,0.6597327206114998,0.7509515641734112,0.80038933944917,0.03709001906735358,0.04973561906735359
A_keep_raw_scale,98.10803333333332,1.0,160,161.8919666666667,0.27041195229566206,0.33196,0.4563147088375344,0.08436,0.2103,0.02904,0.14028,0.07346,0.00482,0.32317019074375275,0.6617,0.1716914720215609,0.9017503731608526,28.041392917720458,25.286336527504513,2.7550563902159455,0.6763119668926362,0.7656149187629377,0.8131911629059073,0.0380630054898354,0.056383005489835374
A_keep_raw_scale,98.10803333333332,1.0,180,181.8919666666667,0.270814292553423,0.32982,0.4512556034295165,0.08092,0.21258,0.0278,0.14358,0.0726,0.00492,0.32576985413290116,0.66308,0.1754526650735687,0.9075931774020505,28.470956613325697,25.84004597636419,2.6309106369615054,0.6976545731623942,0.7835033057609269,0.8279991068252439,0.03898395505071532,0.05504935505071527
