stat,baseline,delta_raw,delta_gameplay,dAVG,dOBP,dSLG,dBB,dK,dHR,dBABIP
power,120,10,6.0,0.010485015352206084,0.010299999999999976,0.022918014477365856,0.0009000000000000119,-6.666666666665932e-05,0.003333333333333334,0.011002801838592147
power,130,1,0.6,4.186750327023203e-05,-3.333333333332966e-05,0.0015487419296768001,-0.00010000000000000286,6.666666666665932e-05,0.00046666666666666384,-0.0003771190733783958
power,130,5,3.0,0.004688309897369403,0.004733333333333312,0.01042296533741438,0.0006000000000000033,0.0005000000000000004,0.0017000000000000001,0.0049857526143988196
power,130,10,6.0,0.008040415882284435,0.007833333333333359,0.016686919698045755,0.000633333333333333,0.0003333333333333244,0.0020999999999999977,0.009070033294855506
power,140,1,0.6,0.0015405179298020877,0.0012000000000000344,0.004319246189523618,-0.0002999999999999947,0.00026666666666666505,0.0008666666666666614,0.0013685076498226034
power,140,5,3.0,0.00518359281712788,0.0048000000000000265,0.01355782821204976,6.66666666666732e-05,-6.666666666665932e-05,0.0023666666666666628,0.00474394268647671
power,140,10,6.0,0.0106226568776982,0.010066666666666668,0.024858200320232726,0.0004666666666666708,9.999999999998899e-05,0.0037666666666666612,0.01095898873916551
power,150,1,0.6,0.0006567024241441177,0.0005333333333333301,0.001579785720429272,-0.00010000000000000286,0.00020000000000000573,0.0002333333333333354,0.0007788756459117807
power,150,5,3.0,0.003268426161811,0.002933333333333288,0.007710081715786188,-0.00010000000000000286,-0.0009333333333333416,0.0011999999999999997,0.002846219452061649
power,150,10,6.0,0.006977404710999002,0.006133333333333324,0.017993477570554306,-0.0003999999999999976,-0.001433333333333342,0.0029333333333333364,0.006007682514694468
discipline,80,1,0.6,0.0008774129482362059,0.0012000000000000344,0.0021555996033184033,0.0004999999999999935,-0.0012333333333333363,0.0001999999999999988,0.0004998180918014961
discipline,80,5,3.0,0.003072818781369585,0.0054333333333333456,0.0037743198346162354,0.0033999999999999933,-0.003233333333333338,-0.00020000000000000226,0.0032830090865094697
discipline,80,10,6.0,0.003522575171691439,0.007800000000000029,0.00227973583722757,0.005999999999999998,-0.004133333333333322,-0.0005666666666666667,0.004083305806889315
discipline,90,1,0.6,0.0006487730308883388,0.0013000000000000234,0.0021099485417208075,0.0009333333333333277,-0.0010000000000000009,0.0004666666666666673,3.384481862062083e-05
discipline,90,5,3.0,0.0016010742721632165,0.004466666666666674,0.0037393422503224083,0.00399999999999999,-0.003133333333333349,0.0004666666666666673,0.0006021595142621794
discipline,90,10,6.0,0.005038578340184285,0.010866666666666636,0.0065026991120399336,0.008333333333333331,-0.006500000000000006,-0.00016666666666666566,0.004717437401536073
discipline,100,1,0.6,0.0015109659885721993,0.0021333333333333204,0.003675340591258014,0.0010000000000000009,-0.0008999999999999841,0.0005666666666666667,0.0011455546021942875
discipline,100,5,3.0,0.00393060225939279,0.005933333333333346,0.008903334099670313,0.003133333333333335,-0.0032999999999999974,0.0009999999999999974,0.0030376076670491914
discipline,100,10,6.0,0.0027533698990866995,0.007099999999999995,0.004560121511982429,0.006199999999999997,-0.006733333333333313,0.000633333333333333,0.0004385461529577972
discipline,110,1,0.6,-0.00028903334497515365,-0.0005333333333333301,-0.002127290600792364,-0.0003666666666666679,-0.0009333333333333416,-0.0005666666666666667,-0.00028833882826473367
discipline,110,5,3.0,0.0016690745774002314,0.003233333333333366,-0.0015758917736509725,0.002333333333333326,-0.0020000000000000018,-0.0011000000000000003,0.0025751537070894948
discipline,110,10,6.0,0.004010295834268207,0.008599999999999997,0.007526637865164609,0.006766666666666657,-0.007533333333333336,0.0005999999999999998,0.0017331538489706033
discipline,120,1,0.6,-0.00021176234409459038,0.0009000000000000119,-0.002573853942484161,0.0015000000000000013,-0.0012333333333333085,-0.0005999999999999998,-0.00015741719886130934
discipline,120,5,3.0,0.005760236727809731,0.009599999999999997,0.005784943163578138,0.006033333333333335,-0.004666666666666652,-0.0004333333333333307,0.006347976366190833
discipline,120,10,6.0,0.0070048805485906085,0.014066666666666672,0.008826916096840498,0.010666666666666672,-0.009366666666666662,-0.00026666666666666505,0.00590396297906598
discipline,130,1,0.6,0.001966886338249152,0.0020999999999999908,0.0027133679343155914,0.0004666666666666708,-0.001700000000000007,3.333333333333313e-05,0.0017834644539254652
discipline,130,5,3.0,0.0076417502204608745,0.009566666666666668,0.011706376249104866,0.0038000000000000117,-0.006133333333333324,0.0008666666666666684,0.00652241146526783
discipline,130,10,6.0,0.01047884109783842,0.016199999999999992,0.013167721564351476,0.009566666666666668,-0.009200000000000014,0.00030000000000000165,0.009693899141061946
discipline,140,1,0.6,0.000968926880582921,0.0017666666666666386,0.0002791660462083678,0.001266666666666666,-0.0005666666666666875,-0.0004333333333333307,0.0015069474000372618
discipline,140,5,3.0,0.003222453410929582,0.006333333333333302,0.003518975450185313,0.004866666666666658,-0.0036333333333333495,-0.0007333333333333324,0.003491394119584601
discipline,140,10,6.0,0.009046904361067032,0.01576666666666665,0.012971384894288396,0.010933333333333337,-0.009166666666666684,-3.333333333333313e-05,0.008040136980017987
discipline,150,1,0.6,0.00020122655092918995,0.0012333333333333085,5.4270356710961476e-05,0.0014999999999999875,-0.001533333333333331,-6.666666666666626e-05,-0.00034440442675298666
discipline,150,5,3.0,-0.0013327119978245316,0.0019333333333333425,-0.0005360993836202588,0.004399999999999987,-0.0024666666666666726,0.00023333333333333192,-0.0029069965736152614
discipline,150,10,6.0,-0.000498602589265873,0.007433333333333347,-0.003029454728471437,0.011166666666666672,-0.008333333333333331,-0.0008000000000000021,-0.003317825860086554
