search,sample_pa,dC,dP,dD,dS,C,P,D,S,batting_value,h321_baserunning_value,h321_total_value,OPS
CPDS30,20000,0,0,20,10,100,100,120,110,0.3739005,0.009841284175183929,0.38374178417518395,0.8404413742525105
CPDS30,20000,0,0,25,5,100,100,125,105,0.374372,0.008186111286330528,0.3825581112863305,0.8372691539734155
CPDS30,20000,0,0,30,0,100,100,130,100,0.373773,0.006715554765730081,0.3804885547657301,0.8318075645756458
CPDS30,20000,0,5,0,25,100,105,100,125,0.3567105,0.014173244276748924,0.3708837442767489,0.8080688393196762
CPDS30,20000,0,5,5,20,100,105,105,120,0.3627725,0.012847958651389615,0.3756204586513896,0.8203933475924098
CPDS30,20000,0,5,10,15,100,105,110,115,0.3730665,0.01125171854982462,0.3843182185498246,0.8429895907473309
CPDS30,20000,0,5,15,10,100,105,115,110,0.3787379999999999,0.009841284175183929,0.38857928417518384,0.8543182603331276
CPDS30,20000,0,5,20,5,100,105,120,105,0.381339,0.008186111286330528,0.3895251112863305,0.8564359525155456
CPDS30,20000,0,5,25,0,100,105,125,100,0.3791565,0.006715554765730081,0.3858720547657301,0.8486664390606251
CPDS30,20000,0,10,0,20,100,110,100,120,0.3643345,0.012847958651389615,0.3771824586513896,0.827256584306272
CPDS30,20000,0,10,5,15,100,110,105,115,0.3704205,0.01125171854982462,0.3816722185498246,0.8408814004376368
CPDS30,20000,0,10,10,10,100,110,110,110,0.3742835,0.009841284175183929,0.3841247841751839,0.844773431611616
CPDS30,20000,0,10,15,5,100,110,115,105,0.380385,0.008186111286330528,0.3885711112863305,0.8565429670452638
CPDS30,20000,0,10,20,0,100,110,120,100,0.385202,0.006715554765730081,0.3919175547657301,0.866157473862673
CPDS30,20000,0,15,0,15,100,115,100,115,0.3716525,0.01125171854982462,0.3829042185498246,0.8452706121784435
CPDS30,20000,0,15,5,10,100,115,105,110,0.3738089999999999,0.009841284175183929,0.3836502841751838,0.8480382997370728
CPDS30,20000,0,15,10,5,100,115,110,105,0.3790159999999999,0.008186111286330528,0.3872021112863304,0.8548346731718135
CPDS30,20000,0,15,15,0,100,115,115,100,0.381094,0.006715554765730081,0.3878095547657301,0.8577098302055406
CPDS30,20000,0,20,0,10,100,120,100,110,0.374894,0.009841284175183929,0.38473528417518393,0.8516768415330253
CPDS30,20000,0,20,5,5,100,120,105,105,0.374893,0.008186111286330528,0.3830791112863305,0.8487125924910934
CPDS30,20000,0,20,10,0,100,120,110,100,0.3834619999999999,0.006715554765730081,0.39017755476573,0.8652707271115052
CPDS30,20000,0,25,0,5,100,125,100,105,0.3786029999999999,0.008186111286330528,0.3867891112863304,0.8587347353548527
CPDS30,20000,0,25,5,0,100,125,105,100,0.381028,0.006715554765730081,0.3877435547657301,0.8604481247943854
CPDS30,20000,0,30,0,0,100,130,100,100,0.373523,0.006715554765730081,0.3802385547657301,0.8435727803421125
CPDS30,20000,5,0,0,25,105,100,100,125,0.3562404999999999,0.014173244276748924,0.37041374427674884,0.8064404038211028
CPDS30,20000,5,0,5,20,105,100,105,120,0.359919,0.012847958651389615,0.3727669586513896,0.8138794033701082
CPDS30,20000,5,0,10,15,105,100,110,115,0.3701305,0.01125171854982462,0.38138221854982457,0.8362323438020198
CPDS30,20000,5,0,15,10,105,100,115,110,0.373332,0.009841284175183929,0.3831732841751839,0.8402107478728169
CPDS30,20000,5,0,20,5,105,100,120,105,0.3775205,0.008186111286330528,0.3857066112863305,0.8457161646076606
CPDS30,20000,5,0,25,0,105,100,125,100,0.3770475,0.006715554765730081,0.3837630547657301,0.8432735106504158
