search,sample_pa,dC,dP,dD,dS,C,P,D,S,batting_value,baserunning_value,total_value,OPS,SB_per_600,CS_per_600
CPDS30,20000,5,0,25,0,105,100,125,100,0.3770475,0.0014330000000000005,0.3784805,0.8432735106504158,13.559999999999999,4.41
CPDS30,20000,5,5,0,20,105,105,100,120,0.36409050000000004,0.003622,0.36771250000000005,0.8261119060548466,18.93,3.8400000000000003
CPDS30,20000,5,5,5,15,105,105,105,115,0.3698475,0.003146,0.3729935,0.8387665534804754,17.25,3.7199999999999998
CPDS30,20000,5,5,10,10,105,105,110,110,0.3762715,0.0028730000000000006,0.3791445,0.8492287101248266,16.62,3.81
CPDS30,20000,5,5,15,5,105,105,115,105,0.38113800000000003,0.002091,0.38322900000000004,0.8580013761467891,14.4,3.87
CPDS30,20000,5,5,20,0,105,105,120,100,0.38145900000000005,0.0013960000000000005,0.38285500000000006,0.8567376014427412,13.260000000000002,4.32
CPDS30,20000,5,10,0,15,105,110,100,115,0.374078,0.0030100000000000005,0.37708800000000003,0.8509267299864315,16.59,3.6
CPDS30,20000,5,10,5,10,105,110,105,110,0.37762749999999995,0.002751,0.38037849999999995,0.8570514236434321,15.75,3.5700000000000003
CPDS30,20000,5,10,10,5,105,110,110,105,0.3817965,0.0019930000000000004,0.3837895,0.861405804412906,13.98,3.81
CPDS30,20000,5,10,15,0,105,110,115,100,0.38196450000000004,0.0013720000000000002,0.3833365,0.8597270832170565,12.81,4.14
CPDS30,20000,5,15,0,10,105,115,100,110,0.376254,0.0026730000000000005,0.37892699999999996,0.8548333188531712,15.389999999999999,3.5100000000000002
CPDS30,20000,5,15,5,5,105,115,105,105,0.37714000000000003,0.001875,0.37901500000000005,0.853762667762257,13.5,3.75
CPDS30,20000,5,15,10,0,105,115,110,100,0.38427799999999995,0.0013840000000000007,0.38566199999999995,0.8668937067773168,12.72,4.08
CPDS30,20000,5,20,0,5,105,120,100,105,0.38242750000000003,0.0017280000000000008,0.38415550000000004,0.868196926251765,12.870000000000001,3.66
CPDS30,20000,5,20,5,0,105,120,105,100,0.3824825,0.0014290000000000006,0.3839115,0.8636288843857823,12.54,3.93
CPDS30,20000,5,25,0,0,105,125,100,100,0.37795,0.0012830000000000003,0.379233,0.8543762544073773,11.85,3.81
CPDS30,20000,10,0,0,20,110,100,100,120,0.361917,0.0036420000000000003,0.36555899999999997,0.8204273615635179,18.99,3.8400000000000003
CPDS30,20000,10,0,5,15,110,100,105,115,0.37102949999999996,0.0031650000000000007,0.37419449999999993,0.840835588251411,17.37,3.75
CPDS30,20000,10,0,10,10,110,100,110,110,0.37580450000000004,0.0028920000000000005,0.37869650000000005,0.8475542581503659,16.740000000000002,3.8400000000000003
CPDS30,20000,10,0,15,5,110,100,115,105,0.380173,0.0020980000000000005,0.38227099999999997,0.8547883455491523,14.61,3.96
CPDS30,20000,10,0,20,0,110,100,120,100,0.37767699999999993,0.001394,0.37907099999999994,0.8459912454873646,13.38,4.38
CPDS30,20000,10,5,0,15,110,105,100,115,0.37147700000000006,0.0029890000000000003,0.3744660000000001,0.844220065075922,16.59,3.63
CPDS30,20000,10,5,5,10,110,105,105,110,0.37617799999999996,0.0027400000000000002,0.378918,0.8525136761487966,15.780000000000001,3.6
CPDS30,20000,10,5,10,5,110,105,110,105,0.3815175,0.0019710000000000005,0.3834885,0.860962925829502,14.040000000000001,3.87
CPDS30,20000,10,5,15,0,110,105,115,100,0.383009,0.0014210000000000008,0.38443,0.8617631411508623,13.02,4.17
CPDS30,20000,10,10,0,10,110,110,100,110,0.37539100000000003,0.0026830000000000005,0.378074,0.8519653946227234,15.42,3.5100000000000002
CPDS30,20000,10,10,5,5,110,110,105,105,0.377044,0.0018850000000000002,0.378929,0.8528085686145765,13.530000000000001,3.75
CPDS30,20000,10,10,10,0,110,110,110,100,0.382742,0.0013950000000000006,0.384137,0.8630051020408163,12.69,4.05
CPDS30,20000,10,15,0,5,110,115,100,105,0.3824165,0.0017280000000000008,0.3841445,0.8677923671785966,12.870000000000001,3.66
CPDS30,20000,10,15,5,0,110,115,105,100,0.3796965,0.0014290000000000006,0.3811255,0.8568489492119089,12.54,3.93
CPDS30,20000,10,20,0,0,110,120,100,100,0.377045,0.0012720000000000003,0.378317,0.8520255159678471,11.88,3.8400000000000003
CPDS30,20000,15,0,0,15,115,100,100,115,0.37090850000000003,0.0029990000000000004,0.3739075,0.842373386266327,16.62,3.63
CPDS30,20000,15,0,5,10,115,100,105,110,0.37370099999999995,0.0027400000000000002,0.37644099999999997,0.8459875136911281,15.780000000000001,3.6
CPDS30,20000,15,0,10,5,115,100,110,105,0.37862549999999995,0.0019930000000000004,0.38061849999999997,0.8535765356945213,13.98,3.81
CPDS30,20000,15,0,15,0,115,100,115,100,0.3805655,0.001368,0.3819335,0.8542989046607802,13.049999999999999,4.260000000000001
CPDS30,20000,15,5,0,10,115,105,100,110,0.375864,0.0027010000000000003,0.378565,0.8527118337580654,15.6,3.5700000000000003
CPDS30,20000,15,5,5,5,115,105,105,105,0.3789935,0.0019150000000000005,0.3809085,0.8574670244810778,13.620000000000001,3.75
CPDS30,20000,15,5,10,0,115,105,110,100,0.3808955,0.0013950000000000006,0.3822905,0.8576901157981802,12.69,4.05
CPDS30,20000,15,10,0,5,115,110,100,105,0.381634,0.0017670000000000001,0.383401,0.8653037694433907,13.049999999999999,3.69
CPDS30,20000,15,10,5,0,115,110,105,100,0.381396,0.0013950000000000006,0.382791,0.8611936808673748,12.69,4.05
CPDS30,20000,15,15,0,0,115,115,100,100,0.37922599999999995,0.0013320000000000003,0.38055799999999995,0.8569180007597548,12.06,3.8400000000000003
CPDS30,20000,20,0,0,10,120,100,100,110,0.37043250000000005,0.0027110000000000003,0.3731435000000001,0.8385387491870799,15.63,3.5700000000000003
CPDS30,20000,20,0,5,5,120,100,105,105,0.375849,0.0019150000000000005,0.377764,0.8496000821018062,13.620000000000001,3.75
CPDS30,20000,20,0,10,0,120,100,110,100,0.3760655,0.0014040000000000003,0.3774695,0.8451551557761235,12.78,4.08
CPDS30,20000,20,5,0,5,120,105,100,105,0.376856,0.0017470000000000005,0.378603,0.8531578927431138,12.99,3.69
CPDS30,20000,20,5,5,0,120,105,105,100,0.378179,0.0014060000000000001,0.379585,0.8530166083820556,12.66,4.0200000000000005
CPDS30,20000,20,10,0,0,120,110,100,100,0.37715299999999996,0.0013420000000000005,0.37849499999999997,0.8512488707144018,12.09,3.8400000000000003
CPDS30,20000,25,0,0,5,125,100,100,105,0.372273,0.0017280000000000008,0.37400100000000003,0.8417148099962053,12.870000000000001,3.66
CPDS30,20000,25,0,5,0,125,100,105,100,0.376445,0.0013950000000000006,0.37783999999999995,0.8482519359072515,12.69,4.05
CPDS30,20000,25,5,0,0,125,105,100,100,0.37511350000000004,0.0013620000000000001,0.3764755,0.8459974254742547,12.15,3.8400000000000003
CPDS30,20000,30,0,0,0,130,100,100,100,0.37339000000000006,0.0013420000000000005,0.37473200000000007,0.8418705826609628,12.09,3.8400000000000003
